Date,"('Close', 'KIJA.JK')","('High', 'KIJA.JK')","('Low', 'KIJA.JK')","('Open', 'KIJA.JK')","('Volume', 'KIJA.JK')",SMA_14,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,RSI,MACD,Signal_Line,MACD_Histogram,ADX,Volume_Ratio,Momentum,ROC
2021-10-19,164.0,165.0,162.0,162.0,5224600,161.92857142857142,162.74,177.255,162.15332217348964,161.5069406277907,164.05537701476706,68.75,0.2831007488328794,-0.18742299163454812,0.4705237404674275,33.46152176979245,0.8797822351210698,0.0,0.0
2021-10-21,163.0,166.0,163.0,164.0,4660200,162.28571428571428,162.62,177.01,162.32265773879172,161.64267329799154,164.01768497852538,64.70588235294119,0.3516025774841296,-0.07961787781081257,0.4312204552949422,36.159934468205144,0.7754850733850301,0.0,0.0
2021-10-22,160.0,164.0,160.0,163.0,2953000,162.28571428571428,162.44,176.73,161.8581261910334,161.49333936181046,163.87419622929235,50.0,0.16194899506007232,-0.031304503236635604,0.19325349829670793,36.35834716661784,0.4966029866810171,-0.018404907975460127,-1.8404907975460127
2021-10-25,161.0,163.0,160.0,160.0,1060800,162.07142857142858,162.28,176.465,161.68650095282675,161.44849032891858,163.77154636396048,39.99999999999999,0.09128651316021319,-0.0067862999572658456,0.09807281311747904,34.52684533511601,0.18905805140817772,-0.006172839506172867,-0.6172839506172867
2021-10-26,160.0,163.0,159.0,160.0,1521100,161.78571428571428,162.1,176.195,161.3492007622614,161.316809389926,163.63684827953333,37.5,-0.04488821212498806,-0.01440668239081029,-0.030481529734177767,32.933438741709416,0.27761706694310956,0.0,0.0
2021-10-27,158.0,162.0,158.0,160.0,6194700,161.42857142857142,161.88,175.915,160.67936060980912,161.01528126356908,163.43553226954998,35.294117647058826,-0.3106104246746213,-0.0736474308475725,-0.2369629938270488,32.07414765685442,1.1360377047075867,-0.018633540372670843,-1.8633540372670843
2021-10-28,158.0,159.0,156.0,158.0,2887900,161.07142857142858,161.66,175.655,160.1434884878473,160.7411647850628,163.24140611706605,35.294117647058826,-0.515257623399549,-0.1619694693579678,-0.35328815404158115,31.98016269444841,0.5296785227913631,-0.018633540372670843,-1.8633540372670843
2021-10-29,158.0,160.0,156.0,159.0,3035200,160.78571428571428,161.46,175.405,159.71479079027785,160.49196798642075,163.05421304145653,37.5,-0.6697218660085298,-0.2635199486880802,-0.4062019173204496,32.873019837305556,0.558164852827052,-0.030674846625766916,-3.0674846625766916
2021-11-01,156.0,159.0,153.0,158.0,11186700,160.5,161.22,175.145,158.9718326322223,160.0836072603825,162.80227686140452,37.5,-0.9426528610325704,-0.39934653115697827,-0.5433063298755921,32.485172390634574,2.060463621352258,-0.03703703703703709,-3.703703703703709
2021-11-02,158.0,158.0,155.0,156.0,4503000,160.28571428571428,160.98,174.885,158.77746610577785,159.89418841852955,162.6307669734972,41.17647058823529,-0.986201043902895,-0.5167174337061616,-0.46948361019673335,32.0973249439636,0.9023125892944809,-0.024691358024691357,-2.4691358024691357
2021-11-03,161.0,161.0,157.0,159.0,5570600,160.28571428571428,160.78,174.64,159.2219728846223,159.99471674411777,162.5725252958723,50.0,-0.7697649929448573,-0.5673269455539008,-0.2024380473909565,28.850571697210352,1.1728887644305575,-0.018292682926829285,-1.8292682926829285
2021-11-04,172.0,174.0,161.0,161.0,39485700,160.92857142857142,160.78,174.45,161.77757830769784,161.08610613101612,162.90922082101972,65.51724137931035,0.2860725397765975,-0.3966470484878012,0.6827195882643987,28.417671264309917,6.195978373696314,0.05521472392638027,5.521472392638027
2021-11-05,171.0,176.0,167.0,174.0,9602600,161.57142857142858,160.8,174.265,163.62206264615827,161.98736921001466,163.19817722026903,65.51724137931035,1.0302635122532706,-0.11126493633958687,1.1415284485928574,27.014610039820116,1.4253810934314404,0.06875000000000009,6.875000000000009
2021-11-08,170.0,173.0,170.0,171.0,4145300,162.14285714285714,160.84,174.055,164.89765011692663,162.71579019092243,163.4410994624023,63.333333333333336,1.5218061429713998,0.21534927952261051,1.3064568634487892,25.847027622237704,0.602638478698744,0.05590062111801242,5.590062111801242
2021-11-09,170.0,172.0,168.0,170.0,3932400,162.57142857142858,160.88,173.865,165.91812009354132,163.37799108265676,163.67534591017366,60.714285714285715,1.8895753705372158,0.5501944977255316,1.339380872811684,23.347027622237704,0.5648786647121057,0.0625,6.25
2021-11-10,174.0,177.0,170.0,171.0,13160200,163.35714285714286,160.98,173.705,167.53449607483307,164.34362825696067,164.0440835562389,67.74193548387098,2.4752683508746998,0.9352092683553652,1.5400590825193345,21.4422657174758,1.748465299934965,0.10126582278481022,10.126582278481022
2021-11-11,174.0,176.0,173.0,175.0,5793600,164.35714285714286,161.08,173.595,168.82759685986647,165.2214802336006,164.39965200065893,75.0,2.905936431186092,1.3293547009215105,1.5765817302645813,22.903304678514765,0.7487704338037489,0.10126582278481022,10.126582278481022
2021-11-12,177.0,181.0,170.0,174.0,12431700,165.5,161.24,173.485,170.4620774878932,166.29225475781874,164.84966442920685,76.66666666666666,3.4495545974564266,1.7533946802284939,1.6961599172279327,26.113252625304813,1.6561302075874496,0.120253164556962,12.0253164556962
2021-11-15,175.0,180.0,175.0,177.0,2761400,166.57142857142858,161.56,173.385,171.36966199031457,167.0838679616534,165.21217641387804,74.19354838709677,3.676610943138826,2.13803793281056,1.5385730103282658,29.617856129908315,0.3750258887919356,0.1217948717948718,12.17948717948718
2021-11-16,173.0,176.0,171.0,175.0,2739800,167.64285714285714,161.84,173.325,171.69572959225167,167.6216981469576,165.49031297052525,74.19354838709677,3.6530612317146165,2.4410425925913715,1.212018639123245,31.811733680928725,0.3835898369274171,0.09493670886075956,9.493670886075956
2021-11-17,173.0,175.0,172.0,173.0,3912600,168.71428571428572,162.24,173.3,171.95658367380133,168.11063467905237,165.75851607872076,74.19354838709677,3.59298027567894,2.6714301292088853,0.9215501464700546,33.78541789145504,0.5528672410686845,0.07453416149068315,7.453416149068315
2021-11-18,170.0,174.0,170.0,174.0,2602200,169.57142857142858,162.54,173.32,171.56526693904107,168.2823951627749,165.9099976473379,67.64705882352942,3.265646418093411,2.7902733869857905,0.4753730311076203,36.00611386215101,0.373127426414445,-0.011627906976744207,-1.1627906976744207
2021-11-19,172.0,172.0,169.0,170.0,2960300,170.71428571428572,162.92,173.39,171.65221355123288,168.62035923888624,166.12749773136153,73.52941176470588,3.1315170833116497,2.8585221262509624,0.2729949570606873,38.413563328424004,0.4244528912205942,0.005847953216374213,0.5847953216374213
2021-11-22,172.0,172.0,170.0,171.0,1274200,171.71428571428572,163.22,173.51,171.72177084098632,168.92759930807838,166.33722995524147,71.875,2.9907431932882105,2.884966339658412,0.1057768536297985,40.821012794697,0.18241790335372923,0.0117647058823529,1.17647058823529
2021-11-23,173.0,176.0,171.0,172.0,14419100,172.57142857142858,163.56,173.62,171.97741667278905,169.2978175527985,166.57518602826855,70.0,2.9261397957679662,2.8932010308803227,0.03293876488764358,44.5804112909376,1.8898002086511594,0.01764705882352935,1.764705882352935
2021-11-24,176.0,177.0,172.0,173.0,2476400,172.85714285714286,163.94,173.71,172.78193333823123,169.90710686618044,166.91178652725895,59.09090909090909,3.08149451513799,2.9308597277318564,0.15063478740613379,43.96436067488698,0.33266859617318273,0.011494252873563315,1.1494252873563315
2021-11-25,174.0,177.0,174.0,177.0,2000500,173.07142857142858,164.24,173.78,173.025546670585,170.27918806016402,167.1649370084283,56.52173913043478,3.008550269457629,2.9463978360770113,0.06215243338061782,43.07150353202984,0.2703497113048884,0.0,0.0
2021-11-26,170.0,175.0,170.0,175.0,4040100,173.07142857142858,164.46,173.79,172.42043733646798,170.25380732742184,167.2661892581273,50.0,2.598026427178638,2.876723554297337,-0.2786971271186989,40.903136185091064,0.5423011253812121,-0.039548022598870025,-3.9548022598870025
2021-11-29,170.0,173.0,164.0,171.0,5847800,173.07142857142858,164.64,173.81,171.9363498691744,170.23073393401987,167.36382535605134,50.0,2.246783799442369,2.7507356033263437,-0.5039518038839748,39.56385047080535,0.8141194978403795,-0.02857142857142858,-2.857142857142858
2021-11-30,173.0,173.0,169.0,170.0,5626900,173.0,164.88,173.82,172.14907989533953,170.4824853945635,167.5651173076209,47.99999999999999,2.1853055720199848,2.6376495970650717,-0.452344025045087,39.034749941704824,0.7772852412638466,0.0,0.0
2021-12-01,171.0,175.0,171.0,173.0,2348500,172.78571428571428,165.12,173.8,171.91926391627163,170.52953217687588,167.6877916894916,44.444444444444436,1.9526909428768988,2.5006578662274377,-0.5479669233505389,37.01952378854764,0.33179972209918956,-0.011560693641618491,-1.1560693641618491
2021-12-02,172.0,173.0,170.0,171.0,661800,172.42857142857142,165.44,173.79,171.9354111330173,170.66321106988715,167.8417991291526,40.0,1.8279622055952416,2.3661187341009984,-0.5381565285057568,36.402982435164176,0.12883331678629203,0.0117647058823529,1.17647058823529
2021-12-03,172.0,175.0,172.0,172.0,1690400,172.21428571428572,165.74,173.78,171.94832890641385,170.78473733626103,167.99030630311145,43.47826086956522,1.7094087823050756,2.234776743741814,-0.5253679614367384,34.72988076206251,0.3565296988564221,0.0,0.0
2021-12-06,171.0,176.0,171.0,172.0,4954300,172.07142857142858,166.0,173.765,171.75866312513108,170.80430666932818,168.09779536371462,45.45454545454546,1.5172725243734533,2.091275899868142,-0.5740033754946889,33.06839007883269,1.0360937823498289,-0.005813953488372103,-0.5813953488372103
2021-12-07,173.0,175.0,166.0,172.0,24815500,172.07142857142858,166.3,173.745,172.00693050010486,171.0039151539347,168.2728741007248,50.0,1.5089917237218913,1.9748190646388921,-0.46582734091700084,31.860011990755357,4.2595391413978865,0.0,0.0
2021-12-08,173.0,176.0,170.0,172.0,4463300,172.28571428571428,166.58,173.715,172.20554440008388,171.18537741266792,168.4417000256989,57.14285714285714,1.4853074300635853,1.876916737723831,-0.3916093076602456,30.59831072905409,0.827913827067976,-0.017045454545454586,-1.7045454545454586
2021-12-09,174.0,179.0,173.0,175.0,3665400,172.42857142857142,166.9,173.61,172.56443552006712,171.44125219333446,168.64021073906682,55.0,1.5295968589060749,1.8074527619602798,-0.27785590305420493,27.66927331725806,0.6935989599989403,0.0,0.0
2021-12-10,175.0,177.0,171.0,173.0,1873600,172.64285714285714,167.24,173.555,173.0515484160537,171.76477472121314,168.86734606981443,57.14285714285714,1.626637330404833,1.7712896756491905,-0.14465234524435755,25.153393382023285,0.39388610393118767,0.02941176470588225,2.941176470588225
2021-12-13,174.0,176.0,173.0,174.0,846200,172.71428571428572,167.52,173.49,173.24123873284296,171.96797701928466,169.05065513874965,52.38095238095237,1.6043569325146336,1.7379031270222791,-0.1335461945076455,23.77494726673507,0.18155116612618258,0.0235294117647058,2.35294117647058
2021-12-14,171.0,174.0,170.0,170.0,2663100,172.35714285714286,167.66,173.43,172.7929909862744,171.87997910844058,169.12027459808002,38.095238095238095,1.3293012711190215,1.6561827558416278,-0.32688148472260625,24.77911551228262,0.5718353227645471,-0.011560693641618491,-1.1560693641618491
2021-12-15,174.0,175.0,170.0,171.0,3080600,172.35714285714286,167.86,173.4,173.03439278901953,172.07270828040052,169.29455050529145,50.0,1.3379693281894731,1.592540070311197,-0.2545707421217238,25.850544083711192,0.6674452010720375,0.01754385964912286,1.7543859649122862
2021-12-16,172.0,174.0,171.0,173.0,399800,172.5,168.04,173.365,172.82751423121564,172.06609843672774,169.39117370153105,55.0,1.1699688677382198,1.5080258297966016,-0.33805696205838176,27.53814219988074,0.08873815585332236,0.0,0.0
2021-12-17,174.0,178.0,171.0,173.0,4943200,172.78571428571428,168.26,173.38,173.06201138497252,172.2419076697525,169.55577464076208,59.09090909090909,1.1845557563563318,1.443331815108548,-0.2587760587522161,27.686951723690264,1.0735503150698171,0.011627906976744207,1.1627906976744207
2021-12-20,171.0,175.0,171.0,172.0,981500,172.64285714285714,168.44,173.425,172.64960910797805,172.12900697250228,169.60735411787772,45.45454545454546,0.9431687801300086,1.3432992081128403,-0.4001304279828317,26.430337967076508,0.21383908146146974,0.0,0.0
2021-12-21,175.0,175.0,170.0,170.0,1471600,172.92857142857142,168.74,173.455,173.11968728638246,172.39000633863844,169.7999486136678,58.33333333333333,1.0623878867318126,1.2871169438366348,-0.22472905710482216,25.509369879691626,0.3732633274360974,0.011560693641618602,1.1560693641618602
2021-12-22,171.0,175.0,170.0,170.0,2417500,172.85714285714286,168.94,173.475,172.69574982910598,172.26364212603494,169.8428075917511,48.14814814814815,0.8245978661294657,1.194613128295201,-0.3700152621657353,22.366512736834483,0.6136440940404815,-0.011560693641618491,-1.1560693641618491
2021-12-23,171.0,172.0,168.0,170.0,3788300,172.78571428571428,169.14,173.5,172.35659986328477,172.14876556912265,169.88413589204572,48.14814814814815,0.6288980167557838,1.0814701059873175,-0.4525720892315337,21.284261654583403,0.940265129797442,-0.017241379310344862,-1.7241379310344862
2021-12-24,170.0,172.0,170.0,170.0,575500,172.71428571428572,169.28,173.535,171.88527989062783,171.95342324465696,169.88827389590125,48.14814814814815,0.3886329152036865,0.9429026678305914,-0.5542697526269049,21.030167922228802,0.1492579893872512,-0.02857142857142858,-2.857142857142858
2021-12-27,170.0,172.0,169.0,170.0,1265800,172.5,169.44,173.555,171.50822391250227,171.77583931332452,169.8922641139048,43.99999999999999,0.19596216139274247,0.7935145665430217,-0.5975524051502792,18.479147514065534,0.3490283016786888,-0.02298850574712641,-2.298850574712641
2021-12-28,170.0,172.0,169.0,170.0,1632200,172.28571428571428,169.6,173.56,171.2065791300018,171.61439937574957,169.8961118241225,43.99999999999999,0.04277610457342007,0.6433668741491013,-0.6005907695756812,17.047463729440572,0.4762898300361405,-0.005847953216374324,-0.5847953216374324
2021-12-29,170.0,172.0,169.0,170.0,3450100,172.0,169.72,173.555,170.96526330400147,171.467635796136,169.89982211611814,41.66666666666667,-0.07772893828587257,0.4991477116621066,-0.5768766499479792,18.349363799813553,0.9908428669279161,-0.02298850574712641,-2.298850574712641
2021-12-30,166.0,169.0,162.0,169.0,4448600,171.35714285714286,169.78,173.495,169.9722106432012,170.97057799648726,169.7605427548282,33.33333333333333,-0.49034424037463964,0.30124932125475734,-0.791593561629397,20.580748713711202,1.2117151164770212,-0.03488372093023251,-3.488372093023251
2022-01-03,166.0,168.0,165.0,166.0,908300,170.78571428571428,169.9,173.395,169.17776851456097,170.51870726953388,169.62623765644148,34.61538461538463,-0.808030368901484,0.07939338322350906,-0.8874237521249931,21.583254979375358,0.25006745186139606,-0.04597701149425293,-4.597701149425292
2022-01-04,166.0,168.0,164.0,167.0,1503300,170.42857142857142,170.0,173.295,168.54221481164876,170.10791569957624,169.49672916871143,39.130434782608695,-1.0477214340561147,-0.1460295802324157,-0.9016918538236991,21.322461006613846,0.43452121156064016,-0.0292397660818714,-2.92397660818714
2022-01-05,162.0,166.0,160.0,166.0,3745800,169.57142857142858,170.04,173.215,167.23377184931903,169.3708324541602,169.22898884125743,25.0,-1.5426620528062358,-0.42535607474717974,-1.117305978059056,22.751032435185273,1.5567381560436957,-0.07428571428571429,-7.428571428571429
2022-01-06,162.0,164.0,161.0,162.0,2968800,168.85714285714286,170.12,173.16,166.18701747945522,168.70075677650925,168.97081066835537,27.272727272727266,-1.912855847521513,-0.7228560293020464,-1.1899998182194667,24.83894452309736,1.2733651874790903,-0.052631578947368474,-5.263157894736848
