# Stock Price Prediction Results
# Ticker: BMRI.JK
# Model: patchtst
# Period: 2020-01-01 to 2025-05-23
# Lookback: 60 days
# Forecast Days: 20 days
# Generated: 2025-05-23 08:42:34.618577

## Historical Data
Date,Actual,Predicted,Error,Error_Percent
2022-09-15,3694.2255859375,3644.2636451148946,-49.96194082260536,-1.3524334034389047
2022-09-16,3710.3800223214284,3662.195958336519,-48.184063984909244,-1.2986288114704354
2022-09-19,3727.268729073661,3675.1499690434193,-52.11876003024145,-1.3983096958827153
2022-09-20,3737.548810686384,3664.7224476247425,-72.82636306164159,-1.9485060062203536
2022-09-21,3747.8289097377233,3688.657039807441,-59.171869930282355,-1.5788306071427167
2022-09-22,3758.1089913504466,3716.042275642206,-42.066715708240736,-1.1193585871261384
2022-09-23,3765.4519217354914,3726.988567089662,-38.46335464582944,-1.0214804343618265
2022-09-26,3777.934884207589,3739.994089039138,-37.94079516845113,-1.004273401509648
2022-09-27,3791.8864397321427,3754.5217834467376,-37.36465628540509,-0.9853843694761206
2022-09-28,3802.1665562220983,3805.24206936866,3.0755131465616614,0.08088843823868534
2022-09-29,3807.3066057477677,3809.5185693033227,2.2119635555550303,0.058097857215273926
2022-09-30,3814.6495361328125,3840.0191685130335,25.36963238022099,0.6650580122739147
2022-10-03,3809.5094691685267,3868.241843039968,58.73237387144127,1.5417306177285957
2022-10-04,3807.30655343192,3896.754077806233,89.44752437431316,2.34936491503908
2022-10-05,3805.103690011161,3917.5624862050413,112.45879619388052,2.9554725798694506
2022-10-06,3811.7123325892853,3931.6867774792154,119.97444488993006,3.1475209675235845
2022-10-07,3817.5867047991073,3949.5869342742617,132.00022947515436,3.4576877928984873
2022-10-10,3820.5238909040177,3962.8311148209964,142.30722391697873,3.724809161795499
2022-10-11,3821.2581961495534,3979.225101171145,157.96690502159163,4.133897708895074
2022-10-12,3827.8668387276784,3983.969012292138,156.10217356445946,4.078046080002755
2022-10-13,3835.944022042411,4002.874095517788,166.9300734753774,4.35173382395964
2022-10-14,3840.3498011997767,4019.217027825739,178.8672266259623,4.657576415827584
2022-10-17,3843.2870047433034,4023.4854505537255,180.19844581042207,4.688654414516141
2022-10-18,3849.161307198661,4027.855676565856,178.69436936719512,4.642423507505461
2022-10-19,3855.7699148995534,4027.521615489744,171.75170059019047,4.454407404510929
2022-10-20,3869.7214878627233,4051.052042538387,181.33055467566373,4.685881277099711
2022-10-21,3901.2960728236603,4046.15954129458,144.86346847091954,3.713213910629218
2022-10-24,3931.402117047991,4051.089532969374,119.68741592138304,3.044395163811273
2022-10-25,3959.305245535714,4057.67504721251,98.36980167679576,2.484521793001737
2022-10-26,3985.0054757254466,4082.1288666243663,97.12339089891975,2.4372210148905507
2022-10-27,4007.768537248884,4087.052152693618,79.2836154447341,1.9782483620962303
2022-10-28,4034.203055245536,4083.8989940874326,49.695938841896805,1.2318650836694718
2022-10-31,4070.917637416295,4094.9426692153797,24.0250317990849,0.5901625613416478
2022-11-01,4099.55500139509,4115.700175972116,16.14517457702641,0.39382749033815045
2022-11-02,4117.178030831473,4114.797967226413,-2.3800636050600588,-0.05780812943324193
2022-11-03,4139.941074916294,4121.749546572113,-18.19152834418128,-0.4394151514475141
2022-11-04,4160.501255580357,4142.087343381946,-18.4139121984108,-0.44258879080285735
2022-11-07,4182.530081612723,4157.352654399209,-25.17742721351351,-0.601966434723297
2022-11-08,4202.356026785715,4161.536647457412,-40.8193793283026,-0.9713450994661298
2022-11-09,4209.698939732143,4156.094134159002,-53.604805573140766,-1.2733643507664127
2022-11-10,4202.355991908482,4160.23149277866,-42.12449912982174,-1.0024019671567872
2022-11-11,4207.495989118303,4182.040560404545,-25.45542871375801,-0.6050018533491767
2022-11-14,4208.23029436384,4170.103363338074,-38.12693102576577,-0.9060086629961738
2022-11-15,4209.69890485491,4189.637401883575,-20.061502971335358,-0.4765543433094246
2022-11-16,4203.824567522322,4198.382730711866,-5.441836810455243,-0.12944966477662956
2022-11-17,4195.013078962053,4207.862628147302,12.84954918524818,0.30630534263858517
2022-11-18,4183.99870954241,4191.77496605034,7.776256507929247,0.18585704843058398
2022-11-21,4175.187220982143,4199.219712203658,24.032491221514647,0.5756027202981667
2022-11-22,4176.655831473215,4198.996598419248,22.340766946033,0.5348960471601232
2022-11-23,4177.39013671875,4212.101790051103,34.71165333235331,0.8309411425866621
2022-11-24,4179.593017578125,4201.185673828588,21.592656250462824,0.5166210240961389
2022-11-25,4177.390101841518,4203.366824431378,25.97672258985949,0.6218409570704967
2022-11-28,4176.655796595982,4203.336344406185,26.68054781020328,0.6388016899057902
2022-11-29,4181.795828683035,4216.828022757484,35.03219407444885,0.8377308579764277
2022-11-30,4194.27880859375,4204.378151667272,10.099343073521595,0.2407885487447527
2022-12-01,4193.544503348215,4215.156498175917,21.611994827701892,0.5153634308744409
2022-12-02,4201.621686662947,4207.198468398353,5.576781735406257,0.13272926863235762
2022-12-05,4219.978934151785,4221.71945720041,1.7405230486247092,0.041244827895676545
2022-12-06,4246.413434709822,4238.902266602546,-7.511168107275807,-0.17688263808418087
2022-12-07,4260.364990234375,4233.059855373608,-27.305134860766884,-0.640910694819712
2022-12-08,4256.693498883928,4240.659135254654,-16.034363629274594,-0.37668588620436677
